"FIPS","Jurisdiction","seven_day_avg_cases","Population","New_Case_Rate","seven_day_avg_case_rate","Cumulative_Case_Rate","county_name","Cases_Per_100k","percent_tested_positive","transmission_level","TotalScore","MaxScore","HHAScore","PoveryPer","LIA_Score","Rural","Rural_Score","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Recip_5Plus","Administered_Dose1_Recip_5PlusPop_Pct","Administered_Dose1_Recip_12Plus","Administered_Dose1_Recip_12PlusPop_Pct","Administered_Dose1_Recip_18Plus","Administered_Dose1_Recip_18PlusPop_Pct","Administered_Dose1_Recip_65Plus","Administered_Dose1_Recip_65PlusPop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Series_Complete_5Plus","Series_Complete_5PlusPop_Pct","Series_Complete_12Plus","Series_Complete_12PlusPop_Pct","Series_Complete_18Plus","Series_Complete_18PlusPop_Pct","Series_Complete_65Plus","Series_Complete_65PlusPop_Pct","Booster_Doses","Booster_Doses_Vax_Pct","Booster_Doses_12Plus","Booster_Doses_12Plus_Vax_Pct","Booster_Doses_18Plus","Booster_Doses_18Plus_Vax_Pct","Booster_Doses_50Plus","Booster_Doses_50Plus_Vax_Pct","Booster_Doses_65Plus","Booster_Doses_65Plus_Vax_Pct","Series_Complete_Pop_Pct_SVI","Series_Complete_5PlusPop_Pct_SVI","Series_Complete_12PlusPop_Pct_SVI","Series_Complete_18PlusPop_Pct_SVI","Series_Complete_65PlusPop_Pct_SVI","Series_Complete_Pop_Pct_UR_Equity","Series_Complete_5PlusPop_Pct_UR_Equity","Series_Complete_12PlusPop_Pct_UR_Equity","Series_Complete_18PlusPop_Pct_UR_Equity","Series_Complete_65PlusPop_Pct_UR_Equity"
"42041","Cumberland",68.0451742627346,253370,26.6204515272244,26.8569705093834,20043.4,"Cumberland County",302.443054187192,13.5612785388128,3.84018264840183,35,18,15,0.0815770833333333,15,0.122448979591837,0.612244897959184,94.7,229861,224707,93.7,226992,99.9,214892,99.9,71814,99.9,174354,68.8,174347,72.7,167203,76.1,156799,77.6,46810,98,72210,41.4,72199,43.2,69767,44.5,54.4,54.4,27741,61.4,4,4,4,4,4,4,4,4,4,4
"42043","Dauphin",79.004691689008,278299,28.134395750332,28.3891420911528,21184.8,"Dauphin County",276.36865,16.0305479452055,3.80365296803653,35,20.4923076923077,15,0.140167692307692,15,0.107692307692308,0.538461538461538,94.7,211343,209988,80.4,209137,88.3,197274,91.5,61555,100,174329,62.6,174325,66.7,168073,71,157288,72.9,46276,95.6,72021,41.3,72009,42.8,69530,44.2,55.7,55.7,27057,63.9,8,8,8,8,8,4,4,8,4,4
"42045","Delaware",146.65509383378,566747,25.6577689243028,25.8753351206434,19319.7,"Delaware County",196.44045,9.82420091324201,3.7351598173516,30,18.8402777777778,15,0.109958041958042,15,0,0,94.7,547114,546963,98.5,523945,99.9,487441,99.9,137294,100,416989,73.6,416935,78.2,394447,81.4,362380,81.9,91680,96.2,158970,38.1,158923,40.3,150836,41.6,51.9,51.9,54383,59.3,8,8,8,8,8,4,4,8,4,4
"42047","Elk",9.53512064343164,29910,31.6019920318725,31.8825737265416,23798.1,"Elk County",381.061617647059,14.360502283105,3.86301369863014,5,6.55555555555556,0,0.0949222222222222,7,1,5,94.7,19327,19244,67.6,19203,73.2,18508,76.6,7055,100,16638,55.6,16638,58.4,16369,62.4,15741,65.1,5864,87,7957,47.8,7956,48.6,7862,49.9,59,59,3845,66.7,4,4,4,4,4,8,8,4,8,8
"42049","Erie",76.2345844504021,269728,28.0138114209827,28.2635388739946,21095,"Erie County",330.916237623762,15.6750228310502,3.85844748858448,35,25.943661971831,15,0.185011267605634,15,0.225352112676056,1.12676056338028,94.7,190792,190785,74.9,186336,80,176090,82.8,54554,100,158853,58.9,158852,62.4,153448,65.9,143798,67.6,42469,84.5,76567,48.2,76540,49.9,74480,51.8,63.9,63.9,29746,72.1,12,12,12,12,12,4,4,12,4,4
"42051","Fayette",41.4533512064343,129274,31.7877822045153,32.0652815013405,23937.5,"Fayette County",358.962079207921,13.615296803653,3.90867579908676,35,31.25,15,0.178647222222222,15,0.25,1.25,94.7,90430,90420,73.6,89774,79.2,86642,82.9,34805,100,73264,56.7,73257,59.7,71950,63.5,68968,66,25776,91.9,32219,44,32218,44.8,31708,46,54.8,54.8,15167,62.2,12,12,12,12,12,4,4,12,4,4
"42053","Forest",2.99450402144772,7247,40.9953519256308,41.3800268096515,30867.9,"Forest County",283.478834951456,7.33027397260274,3.76255707762557,20,20,0,0.179133333333333,15,1,5,94.7,5730,5730,80.6,5709,83,5649,87.3,1702,99.9,5173,71.4,5173,72.8,5149,74.8,5087,78.6,1336,80.9,2988,57.8,2988,58,2983,58.6,59.5,59.5,848,64,12,12,12,12,12,8,8,12,8,8
"42055","Franklin",53.9138069705094,155027,34.4747675962815,34.7781501340483,25958.1,"Franklin County",338.844784946237,16.5620547945205,3.82648401826484,30,18.1111111111111,15,0.0981259259259259,15,0.148148148148148,0.740740740740741,94.7,86529,86524,59.3,85334,64.3,81184,67.2,30856,99,75966,49,75966,52,74112,55.8,70058,58,26402,84.7,33544,44.2,33542,45.3,32762,46.8,57.6,57.6,16258,66,7,8,8,8,8,3,4,8,4,4
"42057","Fulton",5.51099195710456,14530,37.6387782204515,37.9415549597855,28341.4,"Fulton County",519.009849246231,12.1274429223744,3.89041095890411,5,7.33333333333333,0,0.1121,7,1,5,94.7,5853,5852,42.5,5782,45.6,5605,48.1,2276,71.2,5197,35.8,5197,37.7,5136,40.5,4982,42.7,2015,63,2251,43.3,2251,43.8,2226,44.7,52.1,52.1,1214,60.3,2,2,3,3,3,6,6,3,7,7
"42059","Greene",11.2947721179625,36233,30.9112881806109,31.1742627345844,23274.4,"Greene County",392.895314009662,10.1054337899543,3.94520547945205,20,13.7777777777778,0,0.1284,15,1,5,94.7,21712,21707,63.2,21534,68.1,20854,71.4,7529,99.9,18129,50,18126,52.8,17863,56.5,17239,59,5678,81,8215,45.3,8210,46,8125,47.1,57,57,3775,66.5,8,8,8,8,8,8,8,8,8,8
"42061","Huntingdon",15.3789544235925,45144,33.7586985391766,34.0621983914209,25423.1,"Huntingdon County",335.827727272727,10.4303652968037,3.8310502283105,35,24.25,15,0.119625,15,1,5,94.7,26530,26529,61.4,26195,65.3,25465,68.4,8992,93.3,22974,50.9,22974,53.2,22694,56.6,22030,59.2,7464,77.4,10548,45.9,10548,46.5,10415,47.3,57.5,57.5,4811,65.2,8,8,8,8,8,8,8,8,8,8
"42063","Indiana",23.2643431635389,84073,27.4347941567065,27.6713136729223,20657,"Indiana County",350.518529411765,12.6325114155251,3.88127853881279,35,26.7826086956522,15,0.183321739130435,15,0.608695652173913,3.04347826086957,94.7,45029,44522,55.5,44724,60.2,43078,62.4,17114,99.9,38136,45.4,38135,47.6,37469,50.4,36013,52.2,13449,79.9,18252,47.9,18246,48.7,17976,49.9,60.9,60.9,9062,68.9,11,11,12,12,12,7,7,12,8,8
"42065","Jefferson",12.0219839142091,43425,27.4575033200531,27.6945040214477,20679.3,"Jefferson County",395.573472222222,15.669497716895,3.94520547945205,20,14.4615384615385,0,0.156846153846154,15,1,5,94.7,24256,23959,58.4,24144,64.6,23373,68.3,9640,100,20939,48.2,20938,51.1,20640,55.2,19902,58.2,8112,86.8,9626,46,9626,46.6,9513,47.8,56.5,56.5,4940,62.6,7,8,8,8,8,7,8,8,8,8
"42067","Juniata",6.38163538873995,24763,25.541567065073,25.776273458445,19234.3,"Juniata County",326.086347031963,12.1822374429224,3.78538812785388,5,7.8,0,0.11366,7,1,5,94.7,11710,11009,47.2,11638,54.8,11224,58.4,4647,90.9,10181,41.1,10005,42.9,10180,47.9,9835,51.2,4126,80.7,5055,50.5,5054,51.3,4982,52.5,62.3,62.3,2640,69.6,7,7,7,8,8,7,7,7,8,8
"42069","Lackawanna",57.9296246648794,209674,27.3932270916335,27.627345844504,20627.3,"Lackawanna County",263.814949494949,12.1275342465753,3.84931506849315,30,24.7796610169492,15,0.162664406779661,15,0.0677966101694915,0.338983050847458,94.7,175484,170602,85.9,172464,94.9,162075,97.2,52483,100,145995,69.6,145991,73.5,143014,78.7,134100,80.4,41766,98,73517,50.4,73508,52.3,70922,54.2,65.4,65.4,27643,72.2,12,12,12,12,12,4,4,12,4,4
"42071","Lancaster",161.638605898123,545724,29.3528552456839,29.6178284182306,22104.2,"Lancaster County",277.818190954774,15.2118264840183,3.79908675799087,30,18.530612244898,15,0.11190306122449,15,0.0510204081632653,0.255102040816327,94.7,395302,380813,74.7,390792,84.9,368937,88.3,126409,99.9,322709,59.1,321438,63,322700,70.1,304783,72.9,100162,99.8,148412,46.2,148385,47.7,144116,49.2,60.7,60.7,62708,68.4,8,8,8,8,8,4,4,8,4,4
"42073","Lawrence",25.305764075067,85512,29.3492695883134,29.5954423592493,22102.2,"Lawrence County",342.186896551724,15.1813698630137,3.85388127853881,35,22.3928571428571,15,0.1639,15,0.321428571428571,1.60714285714286,94.7,54207,54205,66.9,53486,71.8,51304,74.9,19377,99.9,45831,53.6,45829,56.6,44904,60.2,42820,62.5,15125,78.5,19544,42.6,19542,43.5,19214,44.9,54.6,54.6,9401,62.4,8,8,8,8,8,8,8,8,8,8
"42075","Lebanon",48.8461126005362,141793,34.1422310756972,34.4458445040214,25710,"Lebanon County",322.988172588832,17.7337899543379,3.78995433789954,30,18.6774193548387,15,0.112093548387097,15,0.032258064516129,0.161290322580645,94.7,91707,91704,68.7,89928,74.4,85159,77.7,30208,100,78740,55.5,78740,59,76561,63.4,72007,65.7,24382,86.5,33626,42.7,33623,43.9,32611,45.3,56.5,56.5,14934,64.2,12,12,12,12,12,4,4,12,4,4
"42077","Lehigh",119.427747989276,369318,32.0536520584329,32.3369973190349,24135.8,"Lehigh County",251.83693877551,14.5246118721461,3.74429223744292,30,19.6052631578947,15,0.133861842105263,15,0.0131578947368421,0.0657894736842105,94.7,328077,322213,92.8,323019,99.9,302761,100,90651,100,266467,72.2,266464,76.7,256924,81.5,239124,83.6,66438,100,121702,45.7,121697,47.4,117524,49.1,61,61,44116,69.9,12,12,12,12,12,4,4,12,4,4
"42079","Luzerne",98.1896782841823,317417,30.6646746347942,30.9360589812332,23090.4,"Luzerne County",301.40435,14.1071232876712,3.8310502283105,30,24.4326923076923,15,0.155597087378641,15,0.0865384615384615,0.432692307692308,94.7,236036,236028,78.5,232826,84.1,220009,86.4,70965,99.9,202030,63.6,202028,67.2,196269,70.9,184051,72.3,54320,84.9,95711,47.4,95710,48.8,93062,50.6,62.8,62.8,38607,71.1,12,12,12,12,12,4,4,12,4,4
"42081","Lycoming",38.0077747989276,113299,33.2458167330677,33.5495978552279,25034.6,"Lycoming County",381.595223880597,14.4981735159817,3.78995433789954,30,25.0344827586207,15,0.147072413793103,15,0.275862068965517,1.37931034482759,94.7,69081,67506,62.9,68671,69.9,65914,73.1,24933,99.9,58964,52,58962,55,57827,58.9,55231,61.3,20369,90.7,28745,48.8,28743,49.7,28320,51.3,62.3,62.3,13235,70.3,8,8,8,8,8,4,4,8,4,4
"42083","McKean",10.9184986595174,40625,26.6598937583001,26.8934316353887,20073.8,"McKean County",319.270787037037,21.3423744292237,3.84018264840183,35,28.3333333333333,15,0.164275,15,1,5,94.7,28125,28124,72.7,27807,78.3,26458,81.2,9077,99.9,19889,49,19888,51.4,19501,54.9,18487,56.8,5831,71.6,7697,38.7,7696,39.5,7542,40.8,51.5,51.5,3424,58.7,11,12,12,12,12,7,8,12,8,8
"42085","Mercer",31.1809651474531,109424,28.2382470119522,28.4939678284182,21265,"Mercer County",336.168390243902,15.9269406392694,3.7716894977169,35,23.1666666666667,15,0.157096666666667,15,0.5,2.5,94.7,71721,69771,67.1,71246,74,68560,77.5,27482,99.9,57876,52.9,57875,55.6,57197,59.4,55045,62.3,21122,86.8,26236,45.3,26233,46.3,25844,47.6,56.6,56.6,12936,63.9,12,12,12,12,12,4,4,12,4,4
"42087","Mifflin",16.4112600536193,46138,35.2516600265604,35.5714477211796,26544.3,"Mifflin County",363.420979381443,14.3469863013699,3.81278538812785,35,26,15,0.140158333333333,15,1,5,94.7,26585,25090,57.9,26413,67.1,25556,71.2,10388,99.9,23223,50.3,22875,52.8,23223,59,22481,62.6,9192,90.3,11326,49.5,11326,50.2,11194,51.5,62.3,62.3,5955,72.1,8,8,8,8,8,8,8,8,8,8
"42089","Monroe",49.3361930294906,170271,28.7269588313413,28.9760053619303,21633.2,"Monroe County",271.149095477387,16.2692237442922,3.78538812785388,35,20.6363636363636,15,0.115124242424242,15,0.303030303030303,1.51515151515152,94.7,118458,118455,73,116365,77.6,109618,79.9,32166,100,100606,59.1,100605,62,98143,65.4,91705,66.9,25787,85,41143,40.9,41140,41.9,39990,43.6,53.9,53.9,15803,63,8,8,8,8,8,4,4,8,4,4
"42091","Montgomery",202.901876675603,830915,24.2237715803453,24.4176943699732,18240.3,"Montgomery County",213.85665,9.29648401826484,3.84474885844749,30,16.4502369668246,15,0.0643947619047619,15,0,0,94.7,910363,910244,99.9,877522,100,816361,100,248305,99.9,627864,75.6,627782,79.9,592746,82.8,543060,83.2,141089,93.5,254974,40.6,254891,43,239330,44.1,52.9,52.9,83073,58.9,4,4,4,4,4,4,4,4,4,4
"42093","Montour",6.03310991957105,18230,32.80796812749,33.1083109919571,24701,"Montour County",319.493248730964,14.3014611872146,3.85844748858448,7,4.75,0,0.108775,7,0.25,1.25,94.7,16251,16251,94.6,15626,97.2,14690,99.9,4686,100,14251,78.2,14251,82.9,13654,86.7,12825,88.6,3945,100,7896,55.4,7895,57.8,7611,59.3,69,69,2989,76.6,8,8,8,8,8,4,4,8,4,4
"42095","Northampton",106.117560321716,305285,34.4638778220452,34.7608579088472,25950.8,"Northampton County",287.397908163265,14.0491780821918,3.78995433789954,30,17.5588235294118,15,0.0963485294117647,15,0.0147058823529412,0.0735294117647059,94.7,264473,260350,89.5,261597,97.8,246852,99.9,80928,99.9,206366,67.6,206365,71,200303,74.9,187232,76.4,54914,92.1,97689,47.3,97681,48.8,94523,50.5,61.3,61.3,37880,69.1,8,8,8,8,8,4,4,8,4,4
